,Time 0,Time 1,Time 2,Time 3,Time 4,Time 5,Predict
0,14.50348,14.46882,14.4346,14.40083,14.36755,14.33478,14.20948
1,14.46882,14.4346,14.40083,14.36755,14.33478,14.30257,14.17972
2,14.4346,14.40083,14.36755,14.33478,14.30257,14.27093,14.15063
3,14.40083,14.36755,14.33478,14.30257,14.27093,14.23989,14.12223
4,14.36755,14.33478,14.30257,14.27093,14.23989,14.20948,14.09453
5,14.33478,14.30257,14.27093,14.23989,14.20948,14.17972,14.06756
6,14.30257,14.27093,14.23989,14.20948,14.17972,14.15063,14.04132
7,14.27093,14.23989,14.20948,14.17972,14.15063,14.12223,14.01582
8,14.23989,14.20948,14.17972,14.15063,14.12223,14.09453,13.99107
9,14.20948,14.17972,14.15063,14.12223,14.09453,14.06756,13.96707
10,14.17972,14.15063,14.12223,14.09453,14.06756,14.04132,13.94383
11,14.15063,14.12223,14.09453,14.06756,14.04132,14.01582,13.92133
12,14.12223,14.09453,14.06756,14.04132,14.01582,13.99107,13.89959
13,14.09453,14.06756,14.04132,14.01582,13.99107,13.96707,13.87858
14,14.06756,14.04132,14.01582,13.99107,13.96707,13.94383,13.85832
15,14.04132,14.01582,13.99107,13.96707,13.94383,13.92133,13.83877
16,14.01582,13.99107,13.96707,13.94383,13.92133,13.89959,13.81995
17,13.99107,13.96707,13.94383,13.92133,13.89959,13.87858,13.80182
18,13.96707,13.94383,13.92133,13.89959,13.87858,13.85832,13.78439
19,13.94383,13.92133,13.89959,13.87858,13.85832,13.83877,13.76763
20,13.92133,13.89959,13.87858,13.85832,13.83877,13.81995,13.75152
21,13.89959,13.87858,13.85832,13.83877,13.81995,13.80182,13.73606
22,13.87858,13.85832,13.83877,13.81995,13.80182,13.78439,13.72123
23,13.85832,13.83877,13.81995,13.80182,13.78439,13.76763,13.70702
24,13.83877,13.81995,13.80182,13.78439,13.76763,13.75152,13.6934
25,13.81995,13.80182,13.78439,13.76763,13.75152,13.73606,13.68036
26,13.80182,13.78439,13.76763,13.75152,13.73606,13.72123,13.6679
27,13.78439,13.76763,13.75152,13.73606,13.72123,13.70702,13.656
28,13.76763,13.75152,13.73606,13.72123,13.70702,13.6934,13.64464
